show,description
Lempicka,"The show 'Lempicka' ran from 2024-03-24 to 2024-05-12. It had an average weekly revenue of $356,439.87 and a total revenue of $2,851,518.95."
The Lion King,"The show 'The Lion King' ran from 1997-10-19 to 2024-05-12. It had an average weekly revenue of $1,500,393.31 and a total revenue of $1,953,512,092.35."
Mary Jane,"The show 'Mary Jane' ran from 2024-04-07 to 2024-05-12. It had an average weekly revenue of $399,631.50 and a total revenue of $2,397,789.00."
Merrily We Roll Along,"The show 'Merrily We Roll Along' ran from 2023-09-24 to 2024-05-12. It had an average weekly revenue of $1,645,958.38 and a total revenue of $55,962,584.80."
MJ The Musical,"The show 'MJ The Musical' ran from 2021-12-12 to 2024-05-12. It had an average weekly revenue of $1,532,109.87 and a total revenue of $193,045,843.90."
Mother Play,"The show 'Mother Play' ran from 2024-04-07 to 2024-05-12. It had an average weekly revenue of $533,858.42 and a total revenue of $3,203,150.50."
Moulin Rouge! The Musical,"The show 'Moulin Rouge! The Musical' ran from 2019-06-30 to 2024-05-12. It had an average weekly revenue of $1,428,347.67 and a total revenue of $248,532,494.75."
The Notebook,"The show 'The Notebook' ran from 2024-02-11 to 2024-05-12. It had an average weekly revenue of $791,290.27 and a total revenue of $11,078,063.84."
The Outsiders,"The show 'The Outsiders' ran from 2024-03-17 to 2024-05-12. It had an average weekly revenue of $758,739.85 and a total revenue of $6,828,658.68."
Patriots,"The show 'Patriots' ran from 2024-04-07 to 2024-05-12. It had an average weekly revenue of $409,859.89 and a total revenue of $2,459,159.35."
SIX: The Musical,"The show 'SIX: The Musical' ran from 2020-02-16 to 2024-05-12. It had an average weekly revenue of $1,059,543.21 and a total revenue of $150,455,136.04."
Stereophonic,"The show 'Stereophonic' ran from 2024-04-07 to 2024-05-12. It had an average weekly revenue of $466,021.47 and a total revenue of $2,796,128.80."
Suffs,"The show 'Suffs' ran from 2024-03-31 to 2024-05-12. It had an average weekly revenue of $601,254.83 and a total revenue of $4,208,783.80."
Uncle Vanya,"The show 'Uncle Vanya' ran from 1995-02-05 to 2024-05-12. It had an average weekly revenue of $352,932.22 and a total revenue of $8,117,441.00."
Water For Elephants,"The show 'Water For Elephants' ran from 2024-02-25 to 2024-05-12. It had an average weekly revenue of $888,135.46 and a total revenue of $10,657,625.58."
The Who's Tommy,"The show 'The Who's Tommy' ran from 1993-04-04 to 2024-05-12. It had an average weekly revenue of $503,568.11 and a total revenue of $63,449,581.65."
Wicked,"The show 'Wicked' ran from 2003-10-12 to 2024-05-12. It had an average weekly revenue of $1,624,927.41 and a total revenue of $1,610,303,062.25."
The Wiz,"The show 'The Wiz' ran from 2024-03-31 to 2024-05-12. It had an average weekly revenue of $1,378,691.56 and a total revenue of $9,650,840.90."
Sweeney Todd,"The show 'Sweeney Todd' ran from 1989-08-06 to 2024-05-05. It had an average weekly revenue of $887,575.52 and a total revenue of $124,260,573.25."
Kimberly Akimbo,"The show 'Kimberly Akimbo' ran from 2022-10-16 to 2024-04-28. It had an average weekly revenue of $547,134.16 and a total revenue of $44,317,866.78."
Doubt,"The show 'Doubt' ran from 2005-03-13 to 2024-04-21. It had an average weekly revenue of $414,024.37 and a total revenue of $33,121,949.90."
Spamalot,"The show 'Spamalot' ran from 2005-02-20 to 2024-04-07. It had an average weekly revenue of $830,182.84 and a total revenue of $188,451,505.00."
Days Of Wine And Roses,"The show 'Days Of Wine And Roses' ran from 2024-01-07 to 2024-03-31. It had an average weekly revenue of $394,506.77 and a total revenue of $5,128,588.00."
Prayer For The French Republic,"The show 'Prayer For The French Republic' ran from 2023-12-24 to 2024-03-03. It had an average weekly revenue of $445,361.91 and a total revenue of $4,898,981.00."
How to Dance in Ohio,"The show 'How to Dance in Ohio' ran from 2023-11-19 to 2024-02-11. It had an average weekly revenue of $423,488.37 and a total revenue of $5,505,348.77."
Harmony,"The show 'Harmony' ran from 2023-10-22 to 2024-02-04. It had an average weekly revenue of $568,584.51 and a total revenue of $9,097,352.24."
Purlie Victorious,"The show 'Purlie Victorious' ran from 2023-09-10 to 2024-02-04. It had an average weekly revenue of $510,344.01 and a total revenue of $11,227,568.29."
Gutenberg! The Musical!,"The show 'Gutenberg! The Musical!' ran from 2023-09-17 to 2024-01-28. It had an average weekly revenue of $969,221.92 and a total revenue of $19,384,438.32."
Shucked,"The show 'Shucked' ran from 2023-03-12 to 2024-01-14. It had an average weekly revenue of $717,365.07 and a total revenue of $32,281,428.30."
I Need That,"The show 'I Need That' ran from 2023-10-15 to 2023-12-31. It had an average weekly revenue of $674,819.02 and a total revenue of $8,097,828.25."
Some Like It Hot,"The show 'Some Like It Hot' ran from 2022-11-06 to 2023-12-31. It had an average weekly revenue of $854,124.68 and a total revenue of $52,101,605.52."
Here Lies Love,"The show 'Here Lies Love' ran from 2023-06-18 to 2023-11-26. It had an average weekly revenue of $685,248.83 and a total revenue of $16,445,971.98."
Jaja’s African Hair Braiding,"The show 'Jaja’s African Hair Braiding' ran from 2023-09-17 to 2023-11-19. It had an average weekly revenue of $298,456.40 and a total revenue of $2,984,564.00."
Melissa Etheridge: My Window,"The show 'Melissa Etheridge: My Window' ran from 2023-09-17 to 2023-11-19. It had an average weekly revenue of $235,778.32 and a total revenue of $2,357,783.24."
The Shark is Broken,"The show 'The Shark is Broken' ran from 2023-07-30 to 2023-11-19. It had an average weekly revenue of $264,454.77 and a total revenue of $4,495,731.01."
The Cottage,"The show 'The Cottage' ran from 2023-07-09 to 2023-10-29. It had an average weekly revenue of $306,956.39 and a total revenue of $5,218,258.70."
Funny Girl,"The show 'Funny Girl' ran from 2022-03-27 to 2023-09-03. It had an average weekly revenue of $1,437,019.55 and a total revenue of $109,213,485.57."
Once Upon A One More Time,"The show 'Once Upon A One More Time' ran from 2023-05-14 to 2023-09-03. It had an average weekly revenue of $564,889.22 and a total revenue of $9,603,116.80."
El Mago Pop,"The show 'El Mago Pop' ran from 2023-08-20 to 2023-08-27. It had an average weekly revenue of $1,670,913.00 and a total revenue of $3,341,826.00."
Good Night Oscar,"The show 'Good Night Oscar' ran from 2023-04-09 to 2023-08-27. It had an average weekly revenue of $738,040.56 and a total revenue of $15,498,851.71."
Just For Us,"The show 'Just For Us' ran from 2023-06-25 to 2023-08-20. It had an average weekly revenue of $473,374.00 and a total revenue of $4,260,366.00."
Parade,"The show 'Parade' ran from 1998-11-15 to 2023-08-06. It had an average weekly revenue of $797,753.70 and a total revenue of $31,112,394.26."
Grey House,"The show 'Grey House' ran from 2023-04-30 to 2023-07-30. It had an average weekly revenue of $367,906.93 and a total revenue of $5,150,697.06."
New York New York,"The show 'New York New York' ran from 2023-03-26 to 2023-07-30. It had an average weekly revenue of $870,658.18 and a total revenue of $16,542,505.51."
Camelot,"The show 'Camelot' ran from 1993-06-20 to 2023-07-23. It had an average weekly revenue of $675,443.32 and a total revenue of $18,912,413.00."
Life of Pi,"The show 'Life of Pi' ran from 2023-03-12 to 2023-07-23. It had an average weekly revenue of $503,170.39 and a total revenue of $10,063,407.83."
Peter Pan Goes Wrong,"The show 'Peter Pan Goes Wrong' ran from 2023-03-19 to 2023-07-23. It had an average weekly revenue of $581,549.35 and a total revenue of $11,049,437.74."
Fat Ham,"The show 'Fat Ham' ran from 2023-03-26 to 2023-07-02. It had an average weekly revenue of $367,229.67 and a total revenue of $5,508,445.10."
Leopoldstadt,"The show 'Leopoldstadt' ran from 2022-09-18 to 2023-07-02. It had an average weekly revenue of $778,716.10 and a total revenue of $32,706,076.24."
Prima Facie,"The show 'Prima Facie' ran from 2023-04-16 to 2023-07-02. It had an average weekly revenue of $995,539.14 and a total revenue of $11,946,469.73."
The Sign in Sidney Brustein's Window,"The show 'The Sign in Sidney Brustein's Window' ran from 2023-04-30 to 2023-07-02. It had an average weekly revenue of $529,788.81 and a total revenue of $5,297,888.12."
Summer 1976,"The show 'Summer 1976' ran from 2023-04-09 to 2023-06-18. It had an average weekly revenue of $414,511.09 and a total revenue of $4,559,622.00."
A Doll's House,"The show 'A Doll's House' ran from 1997-03-30 to 2023-06-11. It had an average weekly revenue of $518,862.43 and a total revenue of $20,754,497.20."
The Thanksgiving Play,"The show 'The Thanksgiving Play' ran from 2023-03-26 to 2023-06-11. It had an average weekly revenue of $206,753.29 and a total revenue of $2,481,039.44."
Bad Cinderella,"The show 'Bad Cinderella' ran from 2023-02-19 to 2023-06-04. It had an average weekly revenue of $506,694.56 and a total revenue of $8,107,112.98."
Dancin',"The show 'Dancin'' ran from 2023-03-05 to 2023-05-14. It had an average weekly revenue of $522,219.64 and a total revenue of $5,744,416.08."
Pictures From Home,"The show 'Pictures From Home' ran from 2023-01-15 to 2023-04-30. It had an average weekly revenue of $343,690.22 and a total revenue of $5,499,043.52."
The Phantom of the Opera,"The show 'The Phantom of the Opera' ran from 1988-01-10 to 2023-04-16. It had an average weekly revenue of $776,743.44 and a total revenue of $1,360,854,508.43."
Jonas Brothers,"The show 'Jonas Brothers' ran from 2023-03-19 to 2023-03-19. It had an average weekly revenue of $1,556,128.00 and a total revenue of $1,556,128.00."
Between Riverside and Crazy,"The show 'Between Riverside and Crazy' ran from 2022-12-04 to 2023-02-19. It had an average weekly revenue of $265,403.19 and a total revenue of $3,184,838.32."
The Collaboration,"The show 'The Collaboration' ran from 2022-12-04 to 2023-02-12. It had an average weekly revenue of $285,457.90 and a total revenue of $2,854,579.00."
Take Me Out,"The show 'Take Me Out' ran from 2003-02-09 to 2023-02-05. It had an average weekly revenue of $310,233.92 and a total revenue of $23,888,011.57."
The Piano Lesson,"The show 'The Piano Lesson' ran from 1990-04-15 to 2023-01-29. It had an average weekly revenue of $387,483.56 and a total revenue of $23,636,497.44."
Death of a Salesman,"The show 'Death of a Salesman' ran from 1999-01-24 to 2023-01-15. It had an average weekly revenue of $498,939.39 and a total revenue of $36,921,514.75."
Mike Birbiglia: The Old Man & the Pool,"The show 'Mike Birbiglia: The Old Man & the Pool' ran from 2022-10-30 to 2023-01-15. It had an average weekly revenue of $436,862.05 and a total revenue of $5,242,344.56."
The Music Man,"The show 'The Music Man' ran from 2000-04-09 to 2023-01-15. It had an average weekly revenue of $1,421,801.22 and a total revenue of $206,161,177.31."
Ohio State Murders,"The show 'Ohio State Murders' ran from 2022-11-13 to 2023-01-15. It had an average weekly revenue of $294,287.19 and a total revenue of $2,942,871.86."
A Strange Loop,"The show 'A Strange Loop' ran from 2022-04-17 to 2023-01-15. It had an average weekly revenue of $616,842.08 and a total revenue of $24,673,683.40."
Topdog/Underdog,"The show 'Topdog/Underdog' ran from 2002-03-17 to 2023-01-15. It had an average weekly revenue of $262,656.78 and a total revenue of $9,980,957.82."
1776.0,"The show '1776.0' ran from 1997-07-20 to 2023-01-08. It had an average weekly revenue of $288,081.72 and a total revenue of $17,572,985.10."
Almost Famous,"The show 'Almost Famous' ran from 2022-10-09 to 2023-01-08. It had an average weekly revenue of $727,986.62 and a total revenue of $10,191,812.66."
Beetlejuice,"The show 'Beetlejuice' ran from 2019-03-31 to 2023-01-08. It had an average weekly revenue of $1,073,622.46 and a total revenue of $95,552,398.85."
Into the Woods,"The show 'Into the Woods' ran from 1987-10-04 to 2023-01-08. It had an average weekly revenue of $486,217.84 and a total revenue of $81,198,379.01."
A Christmas Carol,"The show 'A Christmas Carol' ran from 1991-12-22 to 2023-01-01. It had an average weekly revenue of $504,735.33 and a total revenue of $12,618,383.19."
Ain't No Mo',"The show 'Ain't No Mo'' ran from 2022-11-13 to 2022-12-25. It had an average weekly revenue of $266,654.73 and a total revenue of $1,866,583.10."
KPOP,"The show 'KPOP' ran from 2022-10-16 to 2022-12-11. It had an average weekly revenue of $176,260.94 and a total revenue of $1,586,348.50."
Walking with Ghosts,"The show 'Walking with Ghosts' ran from 2022-10-23 to 2022-11-20. It had an average weekly revenue of $189,822.70 and a total revenue of $949,113.50."
Cost of Living,"The show 'Cost of Living' ran from 2022-09-18 to 2022-11-06. It had an average weekly revenue of $194,434.50 and a total revenue of $1,555,476.00."
The Kite Runner,"The show 'The Kite Runner' ran from 2022-07-10 to 2022-10-30. It had an average weekly revenue of $326,969.33 and a total revenue of $5,558,478.60."
Come From Away,"The show 'Come From Away' ran from 2017-02-19 to 2022-10-02. It had an average weekly revenue of $961,947.56 and a total revenue of $204,894,831.24."
Dear Evan Hansen,"The show 'Dear Evan Hansen' ran from 2016-11-20 to 2022-09-18. It had an average weekly revenue of $1,268,490.31 and a total revenue of $268,919,945.69."
Mr. Saturday Night,"The show 'Mr. Saturday Night' ran from 2022-04-03 to 2022-09-04. It had an average weekly revenue of $719,676.24 and a total revenue of $15,832,877.20."
POTUS: Or Behind Every Great Dumbass Are Seven Women Trying to Keep Him Alive,"The show 'POTUS: Or Behind Every Great Dumbass Are Seven Women Trying to Keep Him Alive' ran from 2022-04-17 to 2022-08-14. It had an average weekly revenue of $452,906.49 and a total revenue of $8,152,316.87."
Tina: The Tina Turner Musical,"The show 'Tina: The Tina Turner Musical' ran from 2019-10-13 to 2022-08-14. It had an average weekly revenue of $1,069,944.39 and a total revenue of $70,616,329.70."
Company,"The show 'Company' ran from 1995-09-03 to 2022-07-31. It had an average weekly revenue of $516,882.25 and a total revenue of $44,451,873.48."
The Minutes,"The show 'The Minutes' ran from 2020-03-01 to 2022-07-24. It had an average weekly revenue of $308,283.17 and a total revenue of $5,857,380.30."
Paradise Square,"The show 'Paradise Square' ran from 2022-03-20 to 2022-07-17. It had an average weekly revenue of $282,554.77 and a total revenue of $4,803,431.14."
American Buffalo,"The show 'American Buffalo' ran from 2008-11-02 to 2022-07-10. It had an average weekly revenue of $458,049.24 and a total revenue of $9,160,984.80."
Macbeth,"The show 'Macbeth' ran from 1988-04-17 to 2022-07-10. It had an average weekly revenue of $486,035.05 and a total revenue of $31,106,243.01."
Plaza Suite,"The show 'Plaza Suite' ran from 2022-02-27 to 2022-07-10. It had an average weekly revenue of $1,442,841.76 and a total revenue of $28,856,835.25."
Girl From the North Country,"The show 'Girl From the North Country' ran from 2020-02-09 to 2022-06-19. It had an average weekly revenue of $312,528.81 and a total revenue of $8,750,806.59."
Hangmen,"The show 'Hangmen' ran from 2020-03-01 to 2022-06-19. It had an average weekly revenue of $260,453.35 and a total revenue of $3,385,893.55."
How I Learned to Drive,"The show 'How I Learned to Drive' ran from 2022-04-03 to 2022-06-12. It had an average weekly revenue of $288,193.82 and a total revenue of $3,170,132.00."
for colored girls who have considered suicide/when the rainbow is enuf,"The show 'for colored girls who have considered suicide/when the rainbow is enuf' ran from 2022-04-03 to 2022-06-05. It had an average weekly revenue of $206,720.66 and a total revenue of $2,067,206.62."
Birthday Candles,"The show 'Birthday Candles' ran from 2022-03-20 to 2022-05-29. It had an average weekly revenue of $278,062.45 and a total revenue of $3,058,687.00."
Mrs. Doubtfire,"The show 'Mrs. Doubtfire' ran from 2021-10-24 to 2022-05-29. It had an average weekly revenue of $582,093.43 and a total revenue of $10,477,681.70."
The Skin of Our Teeth,"The show 'The Skin of Our Teeth' ran from 2022-04-03 to 2022-05-29. It had an average weekly revenue of $157,519.78 and a total revenue of $1,417,678.00."
The Little Prince,"The show 'The Little Prince' ran from 2022-04-03 to 2022-05-08. It had an average weekly revenue of $314,765.20 and a total revenue of $1,888,591.22."
David Byrne's American Utopia,"The show 'David Byrne's American Utopia' ran from 2019-10-06 to 2022-04-03. It had an average weekly revenue of $843,301.86 and a total revenue of $39,635,187.52."
Skeleton Crew,"The show 'Skeleton Crew' ran from 2022-01-02 to 2022-02-20. It had an average weekly revenue of $160,411.43 and a total revenue of $1,122,880.00."
Slave Play,"The show 'Slave Play' ran from 2019-09-15 to 2022-01-23. It had an average weekly revenue of $360,328.86 and a total revenue of $9,728,879.28."
Ain't Too Proud—The Life and Times of the Temptations,"The show 'Ain't Too Proud—The Life and Times of the Temptations' ran from 2019-03-03 to 2022-01-16. It had an average weekly revenue of $1,251,959.27 and a total revenue of $82,629,312.01."
Clyde's,"The show 'Clyde's' ran from 2021-11-07 to 2022-01-16. It had an average weekly revenue of $190,895.31 and a total revenue of $2,099,848.41."
Flying Over Sunset,"The show 'Flying Over Sunset' ran from 2021-11-14 to 2022-01-16. It had an average weekly revenue of $227,495.55 and a total revenue of $2,274,955.50."
To Kill A Mockingbird,"The show 'To Kill A Mockingbird' ran from 2018-11-04 to 2022-01-16. It had an average weekly revenue of $1,599,464.71 and a total revenue of $135,954,500.65."
Caroline or Change,"The show 'Caroline or Change' ran from 2004-04-18 to 2022-01-09. It had an average weekly revenue of $386,322.41 and a total revenue of $13,134,962.00."
Trouble in Mind,"The show 'Trouble in Mind' ran from 2021-10-31 to 2022-01-09. It had an average weekly revenue of $155,797.52 and a total revenue of $1,713,772.75."
Freestyle Love Supreme,"The show 'Freestyle Love Supreme' ran from 2019-09-15 to 2022-01-02. It had an average weekly revenue of $564,707.45 and a total revenue of $16,941,223.59."
The Lehman Trilogy,"The show 'The Lehman Trilogy' ran from 2020-03-08 to 2022-01-02. It had an average weekly revenue of $841,734.91 and a total revenue of $13,467,758.50."
Thoughts of a Colored Man,"The show 'Thoughts of a Colored Man' ran from 2021-10-03 to 2021-12-26. It had an average weekly revenue of $295,353.96 and a total revenue of $3,839,601.51."
Waitress,"The show 'Waitress' ran from 2016-03-27 to 2021-12-26. It had an average weekly revenue of $857,000.58 and a total revenue of $182,541,124.33."
Diana,"The show 'Diana' ran from 2021-11-07 to 2021-12-19. It had an average weekly revenue of $352,445.46 and a total revenue of $2,467,118.24."
Jagged Little Pill,"The show 'Jagged Little Pill' ran from 2019-11-03 to 2021-12-19. It had an average weekly revenue of $866,179.59 and a total revenue of $23,386,848.88."
Chicken & Biscuits,"The show 'Chicken & Biscuits' ran from 2021-09-26 to 2021-11-28. It had an average weekly revenue of $143,533.63 and a total revenue of $1,291,802.68."
Dana H.,"The show 'Dana H.' ran from 2021-10-03 to 2021-11-28. It had an average weekly revenue of $92,836.55 and a total revenue of $835,528.93."
Is This A Room,"The show 'Is This A Room' ran from 2021-09-26 to 2021-11-28. It had an average weekly revenue of $101,619.27 and a total revenue of $1,016,192.71."
Lackawanna Blues,"The show 'Lackawanna Blues' ran from 2021-09-19 to 2021-11-14. It had an average weekly revenue of $114,814.89 and a total revenue of $1,033,334.00."
Pass Over,"The show 'Pass Over' ran from 2021-08-08 to 2021-10-10. It had an average weekly revenue of $182,920.20 and a total revenue of $1,829,202.00."
Frozen,"The show 'Frozen' ran from 2004-05-02 to 2020-03-08. It had an average weekly revenue of $1,267,539.79 and a total revenue of $154,639,854.60."
The Inheritance,"The show 'The Inheritance' ran from 2019-09-29 to 2020-03-08. It had an average weekly revenue of $451,882.16 and a total revenue of $10,393,289.60."
Mean Girls,"The show 'Mean Girls' ran from 2018-03-18 to 2020-03-08. It had an average weekly revenue of $1,193,186.80 and a total revenue of $121,705,053.82."
A Soldier's Play,"The show 'A Soldier's Play' ran from 2019-12-29 to 2020-03-08. It had an average weekly revenue of $373,302.41 and a total revenue of $4,106,326.50."
West Side Story,"The show 'West Side Story' ran from 2009-03-01 to 2020-03-08. It had an average weekly revenue of $1,024,862.34 and a total revenue of $111,709,995.58."
Who's Afraid of Virginia Woolf?,"The show 'Who's Afraid of Virginia Woolf?' ran from 2005-03-13 to 2020-03-08. It had an average weekly revenue of $268,338.87 and a total revenue of $13,148,604.50."
Grand Horizons,"The show 'Grand Horizons' ran from 2019-12-29 to 2020-03-01. It had an average weekly revenue of $225,961.90 and a total revenue of $2,259,618.95."
My Name is Lucy Barton,"The show 'My Name is Lucy Barton' ran from 2020-01-05 to 2020-03-01. It had an average weekly revenue of $476,646.79 and a total revenue of $4,289,821.10."
Oklahoma!,"The show 'Oklahoma!' ran from 2019-03-24 to 2020-01-19. It had an average weekly revenue of $518,565.09 and a total revenue of $22,298,298.88."
The Sound Inside,"The show 'The Sound Inside' ran from 2019-09-15 to 2020-01-12. It had an average weekly revenue of $466,672.45 and a total revenue of $7,933,431.60."
Derren Brown: Secret,"The show 'Derren Brown: Secret' ran from 2019-09-15 to 2020-01-05. It had an average weekly revenue of $405,696.86 and a total revenue of $6,491,149.74."
The Illusionists – Magic Of The Holidays,"The show 'The Illusionists – Magic Of The Holidays' ran from 2018-11-25 to 2020-01-05. It had an average weekly revenue of $1,290,715.73 and a total revenue of $14,197,873.00."
The Lightning Thief: The Percy Jackson Musical,"The show 'The Lightning Thief: The Percy Jackson Musical' ran from 2019-09-22 to 2020-01-05. It had an average weekly revenue of $311,426.33 and a total revenue of $4,671,394.98."
Slava's Snowshow,"The show 'Slava's Snowshow' ran from 2008-12-07 to 2020-01-05. It had an average weekly revenue of $405,963.00 and a total revenue of $4,871,556.00."
Tootsie,"The show 'Tootsie' ran from 2019-03-31 to 2020-01-05. It had an average weekly revenue of $939,050.76 and a total revenue of $37,562,030.60."
Harry Connick Jr.—A Celebration of Cole Porter,"The show 'Harry Connick Jr.—A Celebration of Cole Porter' ran from 2019-12-08 to 2019-12-29. It had an average weekly revenue of $1,108,536.12 and a total revenue of $4,434,144.50."
Betrayal,"The show 'Betrayal' ran from 2000-10-22 to 2019-12-08. It had an average weekly revenue of $695,609.49 and a total revenue of $31,998,036.64."
The Rose Tattoo,"The show 'The Rose Tattoo' ran from 1995-04-23 to 2019-12-08. It had an average weekly revenue of $269,696.33 and a total revenue of $5,933,319.30."
The Great Society,"The show 'The Great Society' ran from 2019-09-08 to 2019-11-24. It had an average weekly revenue of $368,701.62 and a total revenue of $4,424,419.50."
The Height of the Storm,"The show 'The Height of the Storm' ran from 2019-09-15 to 2019-11-24. It had an average weekly revenue of $287,432.86 and a total revenue of $3,161,761.50."
Kristin Chenoweth: For The Girls,"The show 'Kristin Chenoweth: For The Girls' ran from 2019-11-17 to 2019-11-17. It had an average weekly revenue of $969,894.00 and a total revenue of $969,894.00."
Linda Vista,"The show 'Linda Vista' ran from 2019-09-22 to 2019-11-10. It had an average weekly revenue of $200,637.69 and a total revenue of $1,605,101.54."
Beautiful: The Carole King Musical,"The show 'Beautiful: The Carole King Musical' ran from 2013-11-24 to 2019-10-27. It had an average weekly revenue of $872,980.39 and a total revenue of $270,623,922.02."
Sea Wall/A Life,"The show 'Sea Wall/A Life' ran from 2019-07-28 to 2019-09-29. It had an average weekly revenue of $650,939.72 and a total revenue of $6,509,397.15."
What the Constitution Means to Me,"The show 'What the Constitution Means to Me' ran from 2019-03-17 to 2019-08-25. It had an average weekly revenue of $471,905.49 and a total revenue of $11,325,731.72."
The Cher Show,"The show 'The Cher Show' ran from 2018-11-04 to 2019-08-18. It had an average weekly revenue of $934,780.50 and a total revenue of $39,260,781.20."
King Kong,"The show 'King Kong' ran from 2018-10-07 to 2019-08-18. It had an average weekly revenue of $797,997.93 and a total revenue of $36,707,904.80."
Manilow Broadway,"The show 'Manilow Broadway' ran from 2019-07-28 to 2019-08-18. It had an average weekly revenue of $866,512.15 and a total revenue of $3,466,048.60."
Pretty Woman: The Musical,"The show 'Pretty Woman: The Musical' ran from 2018-07-22 to 2019-08-18. It had an average weekly revenue of $897,097.70 and a total revenue of $51,134,568.80."
The Prom,"The show 'The Prom' ran from 2018-10-28 to 2019-08-11. It had an average weekly revenue of $595,530.07 and a total revenue of $25,012,263.06."
Be More Chill,"The show 'Be More Chill' ran from 2019-02-17 to 2019-08-04. It had an average weekly revenue of $540,934.05 and a total revenue of $13,523,351.19."
Frankie and Johnny in the Clair de Lune,"The show 'Frankie and Johnny in the Clair de Lune' ran from 2002-07-28 to 2019-07-28. It had an average weekly revenue of $326,233.85 and a total revenue of $15,006,757.00."
Dave Chappelle Live on Broadway,"The show 'Dave Chappelle Live on Broadway' ran from 2019-07-14 to 2019-07-21. It had an average weekly revenue of $1,534,756.00 and a total revenue of $3,069,512.00."
Burn This,"The show 'Burn This' ran from 1987-10-11 to 2019-07-14. It had an average weekly revenue of $269,237.61 and a total revenue of $19,923,583.10."
Criss Angel Raw — The Mindfreak Unplugged,"The show 'Criss Angel Raw — The Mindfreak Unplugged' ran from 2019-07-07 to 2019-07-07. It had an average weekly revenue of $434,071.50 and a total revenue of $434,071.50."
The Ferryman,"The show 'The Ferryman' ran from 2018-10-07 to 2019-07-07. It had an average weekly revenue of $735,688.75 and a total revenue of $29,427,549.86."
Ink,"The show 'Ink' ran from 2019-04-07 to 2019-07-07. It had an average weekly revenue of $377,793.35 and a total revenue of $5,289,106.90."
My Fair Lady,"The show 'My Fair Lady' ran from 1993-11-28 to 2019-07-07. It had an average weekly revenue of $866,346.75 and a total revenue of $78,837,554.52."
All My Sons,"The show 'All My Sons' ran from 1987-04-19 to 2019-06-30. It had an average weekly revenue of $498,806.41 and a total revenue of $17,458,224.35."
Kiss Me Kate,"The show 'Kiss Me Kate' ran from 1999-10-31 to 2019-06-30. It had an average weekly revenue of $590,954.12 and a total revenue of $78,596,897.45."
Regina Spektor: Live on Broadway,"The show 'Regina Spektor: Live on Broadway' ran from 2019-06-30 to 2019-06-30. It had an average weekly revenue of $743,113.50 and a total revenue of $743,113.50."
Hillary and Clinton,"The show 'Hillary and Clinton' ran from 2019-03-17 to 2019-06-23. It had an average weekly revenue of $349,364.57 and a total revenue of $5,240,468.50."
Mel Brooks on Broadway,"The show 'Mel Brooks on Broadway' ran from 2019-06-23 to 2019-06-23. It had an average weekly revenue of $583,140.00 and a total revenue of $583,140.00."
